s,mean_a_qopt,mean_a_hot,mean_a_klopt,mean_a_best_fixed,mean_a_maxj,median_hot_defect_recovery,mean_gap_improvement_over_hot,median_gap_improvement_over_hot,fraction_hot_absent_q_near,fraction_q_kl_disjoint,mean_gap_qopt,mean_gap_hot,mean_gap_klopt,mean_gap_best_fixed
0.7,0.945515878931,0.880573925985,0.886308018015,0.928838626144,0.839824637881,0.515975098741,-0.538916950367,-0.473609173676,1,1,1.44621340421,0.907296453847,0.859607134537,1.08788117446
0.725,0.952410884326,0.891353184226,0.896067179559,0.936316749389,0.853370083703,0.531370517329,-0.5022432941,-0.441266669893,1,1,1.33476479092,0.832521496821,0.78659940018,0.999901287553
0.75,0.958387022255,0.901260789017,0.904984034417,0.942990139032,0.865879225467,0.549431804264,-0.466404707356,-0.409531078821,1,1,1.22858658537,0.762181878014,0.718309146738,0.916816848441
0.775,0.963582953346,0.910257976482,0.913120906163,0.94894792087,0.877399357774,0.566535660186,-0.42979824207,-0.378682916663,1,1,1.12610527996,0.69630703789,0.654684093997,0.838739400025
0.8,0.968100766226,0.918416964979,0.920537933989,0.954269593701,0.88798268021,0.582264174894,-0.384514378882,-0.334444977491,1,1,1.01938389559,0.634869516704,0.59562529892,0.765701613572
0.825,0.972026764825,0.925807220911,0.927140341219,0.959025726262,0.897684131627,0.596706474378,-0.353687030236,-0.305287092535,1,1,0.931479301139,0.577792270903,0.540255543788,0.697666938363
0.85,0.975437484797,0.932494617617,0.933332231286,0.963278782691,0.906559741108,0.612906138888,-0.324542667943,-0.278070601942,1,1,0.849499187371,0.524956519429,0.489897325878,0.634539979752
0.875,0.978404637819,0.938540959781,0.93895750222,0.967083979399,0.914665394982,0.63592358801,-0.293646818845,-0.235305663731,1,1,0.769856483944,0.476209665098,0.443611587038,0.576176996071
0.9,0.980989657337,0.944003770746,0.944064048026,0.970490114295,0.922055932555,0.657741196695,-0.268334818484,-0.213513357183,1,1,0.699707752466,0.431372933982,0.401184785416,0.522396039917
0.925,0.983246502088,0.948936262988,0.948696307313,0.97354033579,0.928784497818,0.678486314454,-0.249103902973,-0.193424198956,1,1,0.639352375409,0.390248472436,0.362392279327,0.47298639974
0.95,0.985225494363,0.953387431467,0.952895391072,0.976272836574,0.934902088475,0.698581965552,-0.226860212648,-0.174965113931,0.9,1,0.579485942968,0.352625730319,0.327003684349,0.427717115591
0.975,0.986963463576,0.957402225497,0.956699246975,0.978721468269,0.94045725594,0.707597239222,-0.206301852882,-0.15805377093,0.8,1,0.524588888379,0.318287035497,0.294787427456,0.386344443609
