instance_id,width,optimizer,step,success_at_step,alpha,line_trials,projection_displacement,energy,gap,pstar,dominant_index,dominant_probability,dominant_gap,dominant_hamming,dominant_local_min,entropy,effective_support,gradient_rms,gradient_ratio,fisher_condition,fisher_rank,fisher_min_kept,fisher_max,theta_norm,theta_target_cosine,beta_projection,transverse_norm,transverse_ratio,update_norm,update_target_cosine,gradient_update_dot,update_fisher_target_cosine,initialization,seed
ct_w3_i2,3,projected_adam,0,False,,0,0.0,-7.41572097307033,3.5842790269296696,0.0048163762573579,64512,0.0048163762573579,0.0,0,True,8.920012474429242,7480.182540113477,0.1531631771921491,1.0,122.00515228360678,47,0.0329589861098936,4.02116611945086,5.477225575051661,1.0,1.0,0.0,0.0,0.0511207716789216,0.9999999999999994,-0.0221846571578418,1.0000000000000002,exact_target,-1
ct_w3_i2,3,projected_adam,50,False,,0,0.0,-8.277236585231911,2.722763414768089,0.0183906410711813,64512,0.0183906410711813,0.0,0,True,7.884080734411325,2654.68354481317,0.1651012092987766,1.0779432258162858,317.5977112266087,47,0.0172774288725359,5.487271865797951,7.821601227475233,1.0,1.4280224760327604,2.928969502107952e-15,3.744718526200556e-16,0.0403408688241894,1.0000000000000002,-0.0126368489074161,0.9999999999999996,exact_target,-1
ct_w3_i2,3,projected_adam,100,False,,0,0.0,-8.776504175542511,2.2234958244574887,0.0407763094899617,64512,0.0407763094899617,0.0,0,True,7.093287173048759,1203.8585951090758,0.1796454993563788,1.1729026692297364,612.9189084095274,47,0.010937186109003,6.703608171001969,9.591341199402834,1.0000000000000002,1.7511313105471964,7.215595591812694e-15,7.523030868990399e-16,0.0329011432343681,0.9999999999999996,-0.0083470900853803,0.9999999999999992,exact_target,-1
ct_w3_i2,3,projected_adam,150,False,,0,0.0,-9.158393610098871,1.841606389901127,0.0751394563123108,64512,0.0751394563123108,0.0,0,True,6.368759019817675,583.3334742481485,0.1960461994123404,1.279982584628634,1106.714953177914,47,0.0071064003025662,7.864759478118088,11.243351090470282,0.9999999999999996,2.052745671400293,3.367473164340296e-15,2.9950796139369193e-16,0.0335327419877634,1.0000000000000009,-0.007050618931394,0.9999999999999986,exact_target,-1
ct_w3_i2,3,projected_adam,199,False,,0,0.0,-9.48011724525949,1.5198827547405092,0.1254589659736136,64512,0.1254589659736136,0.0,0,True,5.660635050558539,287.3310543761269,0.2136135925820399,1.3946798212082885,1980.3532747682991,47,0.0045279070736468,8.966855601143127,12.91881144478714,1.000000000000001,2.3586414814886103,1.3170071812084775e-14,1.0194491860471424e-15,0.0,,0.0,,exact_target,-1
ct_w3_i2,3,ray_projected,0,False,0.02,0,0.0,-7.41572097307033,3.5842790269296696,0.0048163762573579,64512,0.0048163762573579,0.0,0,True,8.920012474429242,7480.182540113477,0.1531631771921491,1.0,122.00515228360678,47,0.0329589861098936,4.02116611945086,5.477225575051661,1.0,1.0,0.0,0.0,0.1095445115010331,1.0000000000000009,-0.0475385513825434,1.0,exact_target,-1
ct_w3_i2,3,ray_projected,50,False,0.02,0,0.0,-9.09665759625019,1.9033424037498108,0.0680736127577109,64512,0.0680736127577109,0.0,0,True,6.493850426275613,661.0638467095287,0.1930437067982056,1.260379357082837,999.308536279812,47,0.0076690880993223,7.663785203134694,10.954451150103322,1.0,2.0,9.904035701852816e-15,9.041106273735496e-16,0.1095445115010331,1.0000000000000009,-0.0237899080027497,1.0,exact_target,-1
ct_w3_i2,3,ray_projected,100,False,0.02,0,0.0,-9.996014537378848,1.0039854626211522,0.2790803043484549,64512,0.2790803043484549,0.0,0,True,4.288212097233055,72.8361281014079,0.2392057719359922,1.5617707618842311,6276.410128047569,47,0.0016649226235499,10.44973721686462,16.431676725154986,1.0,3.0,1.5434895314732314e-14,9.393378151788545e-16,0.1095445115010331,1.0000000000000009,-0.0134180606098134,0.9999999999999992,exact_target,-1
ct_w3_i2,3,ray_projected,150,False,0.02,0,0.0,-10.512669805372738,0.4873301946272619,0.5743645542922088,64512,0.5743645542922088,0.0,0,True,2.503811750762508,12.229019206335542,0.2055086615058257,1.3417628523597882,30029.542493334797,47,0.0003021230296215,9.072616356235397,21.908902300206652,1.0,4.000000000000002,4.657646926676369e-15,2.1259152388627135e-16,0.1095445115010331,1.0000000000000009,-0.0076423896923611,1.0000000000000018,exact_target,-1
ct_w3_i2,3,ray_projected,199,False,,0,0.0,-10.786396462972531,0.2136035370274669,0.7974193972499829,64512,0.7974193972499829,0.0,0,True,1.2901201331066998,3.6332229999029,0.1196972054698945,0.7815011915019873,106970.69233623343,47,4.940591716778869e-05,5.284985164944958,27.276583363757187,1.000000000000001,4.97999999999999,5.968334288162385e-14,2.188079866370872e-15,0.0,,0.0,,exact_target,-1
