instance_id,width,optimizer,success,first_success,minimum_gap,final_gap,gradient_evaluations,projection_displacement,initialization,seed
ct_w6_i1,6,ray_projected,False,-1,0.1711175548072887,0.1711175548072887,200,0.0,exact_target,-1
ct_w6_i1,6,target_direction,False,-1,0.1711175548072887,0.1711175548072887,200,0.0,exact_target,-1
ct_w6_i2,6,adam,True,29,0.0999458663645533,0.0999458663645533,30,0.0,exact_target,-1
ct_w6_i2,6,armijo_gd,True,3,0.0934323603400102,0.0934323603400102,7,0.0,exact_target,-1
ct_w6_i2,6,diagonal_fisher,True,2,0.027791755630842,0.027791755630842,5,0.0,exact_target,-1
ct_w6_i2,6,exact_natural,True,5,0.0463850189214216,0.0463850189214216,11,0.0,exact_target,-1
ct_w6_i2,6,projected_adam,False,-1,1.3869437762343786,1.3869437762343786,200,0.0,exact_target,-1
ct_w6_i2,6,ray_projected,False,-1,0.1253889703962105,0.1253889703962105,200,0.0,exact_target,-1
ct_w6_i2,6,target_direction,False,-1,0.1253889703962105,0.1253889703962105,200,0.0,exact_target,-1
ct_w6_i3,6,adam,True,28,0.0947462900335374,0.0947462900335374,29,0.0,exact_target,-1
ct_w6_i3,6,armijo_gd,True,3,0.095711088634026,0.095711088634026,7,0.0,exact_target,-1
ct_w6_i3,6,diagonal_fisher,True,3,0.0043860458705076,0.0043860458705076,7,0.0,exact_target,-1
ct_w6_i3,6,exact_natural,True,5,0.055474452228049,0.055474452228049,11,0.0,exact_target,-1
ct_w6_i3,6,projected_adam,False,-1,1.0470185763735316,1.0470185763735316,200,0.0,exact_target,-1
ct_w6_i3,6,ray_projected,False,-1,0.1471006576565532,0.1471006576565532,200,0.0,exact_target,-1
ct_w6_i3,6,target_direction,False,-1,0.1471006576565532,0.1471006576565532,200,0.0,exact_target,-1
ct_w6_i4,6,adam,True,33,0.0970651561164253,0.0970651561164253,34,0.0,exact_target,-1
ct_w6_i4,6,armijo_gd,True,2,0.0904068431234321,0.0904068431234321,5,0.0,exact_target,-1
ct_w6_i4,6,diagonal_fisher,True,2,0.0319156346703213,0.0319156346703213,5,0.0,exact_target,-1
ct_w6_i4,6,exact_natural,True,5,0.0394527823574382,0.0394527823574382,11,0.0,exact_target,-1
ct_w6_i4,6,projected_adam,False,-1,1.594900421121329,1.594900421121329,200,0.0,exact_target,-1
ct_w6_i4,6,ray_projected,False,-1,0.1084132594176168,0.1084132594176168,200,0.0,exact_target,-1
ct_w6_i4,6,target_direction,False,-1,0.1084132594176168,0.1084132594176168,200,0.0,exact_target,-1
ct_w6_i5,6,adam,True,31,0.0971676223687207,0.0971676223687207,32,0.0,exact_target,-1
ct_w6_i5,6,armijo_gd,True,2,0.0814615945555079,0.0814615945555079,5,0.0,exact_target,-1
ct_w6_i5,6,diagonal_fisher,True,2,0.0241109091506537,0.0241109091506537,5,0.0,exact_target,-1
ct_w6_i5,6,exact_natural,True,5,0.0392181685232078,0.0392181685232078,11,0.0,exact_target,-1
ct_w6_i5,6,projected_adam,False,-1,1.9528086748425049,1.9528086748425049,200,0.0,exact_target,-1
ct_w6_i5,6,ray_projected,False,-1,0.1067499498592905,0.1067499498592905,200,0.0,exact_target,-1
ct_w6_i5,6,target_direction,False,-1,0.1067499498592905,0.1067499498592905,200,0.0,exact_target,-1
