instance_id,instance_width,split,graph,seed,blocks,max_block_size,stored_entries,cosine_exact_natural,cosine_target,relative_error
ct_w4_i3,4,evaluation,problem_tree,50,16,3,91,0.5603520943963944,0.1439632258778068,0.8378756133803387
ct_w4_i3,4,evaluation,problem_tree,101,16,3,91,0.5999810703274802,0.22859679865727978,0.8078641601619542
ct_w4_i3,4,evaluation,width2,0,16,6,245,0.6853336796353593,0.6248068396695032,0.7497854174856972
ct_w4_i3,4,evaluation,width2,19,16,6,245,0.7831399730963291,0.7494924633004162,0.7000080247022054
ct_w4_i3,4,evaluation,width2,42,16,6,245,0.7892379233268674,0.7102690582642258,0.7095865597536787
ct_w4_i3,4,evaluation,width2,50,16,6,245,0.6904456011066827,0.5609608135819538,0.759735523082355
ct_w4_i3,4,evaluation,width2,101,16,6,245,0.7237994408773439,0.6433828946195336,0.7311976139211563
ct_w4_i3,4,evaluation,width3,0,16,9,364,0.7292724438986573,0.7199326589586627,0.748103175029624
ct_w4_i3,4,evaluation,width3,19,16,9,364,0.7788374872514019,0.7707497959064951,0.7369527262375657
ct_w4_i3,4,evaluation,width3,42,16,9,364,0.7751562321202704,0.7612027254804883,0.7265981558949884
ct_w4_i3,4,evaluation,width3,50,16,9,364,0.7419304339853616,0.6841310023582443,0.753785699926109
ct_w4_i3,4,evaluation,width3,101,16,9,364,0.771868811269197,0.7431683614787791,0.7272405127375186
ct_w4_i4,4,evaluation,chain,0,16,3,91,0.9439095984894678,-0.8570562152602786,0.34072748837424155
ct_w4_i4,4,evaluation,chain,19,16,3,91,0.9588322010853969,-0.8804932505941232,0.31926261448200005
ct_w4_i4,4,evaluation,chain,42,16,3,91,0.9252730837303635,-0.858269488054998,0.391792699643346
ct_w4_i4,4,evaluation,chain,50,16,3,91,0.9186893983701825,-0.8813221238220671,0.3954380806551763
ct_w4_i4,4,evaluation,chain,101,16,3,91,0.938788098709269,-0.8532364061439669,0.34951655045910535
ct_w4_i4,4,evaluation,problem_tree,0,16,3,91,0.5976803119884554,0.30623554124930524,0.8313538466678108
ct_w4_i4,4,evaluation,problem_tree,19,16,3,91,0.5192168632817631,0.24837156912528208,0.8802839880207978
ct_w4_i4,4,evaluation,problem_tree,42,16,3,91,0.5979810950237008,0.19781415169463593,0.8186194664405262
ct_w4_i4,4,evaluation,problem_tree,50,16,3,91,0.520287052118614,0.2442138187930882,0.8793978144482008
ct_w4_i4,4,evaluation,problem_tree,101,16,3,91,0.6459213902466306,0.46238301489716827,0.7809236737092283
ct_w4_i4,4,evaluation,width2,0,16,6,289,0.6496678514820349,0.49630614261787714,0.8097030947530833
ct_w4_i4,4,evaluation,width2,19,16,6,289,0.6550986229822147,0.5668053403632828,0.7932159832334313
ct_w4_i4,4,evaluation,width2,42,16,6,289,0.6370262586014435,0.47991306935039946,0.8065701953732491
ct_w4_i4,4,evaluation,width2,50,16,6,289,0.6967343377679328,0.5699181490254135,0.7779510806885119
ct_w4_i4,4,evaluation,width2,101,16,6,289,0.6546626926223844,0.5728448259189932,0.8036612205519429
ct_w4_i4,4,evaluation,width3,0,16,10,465,0.7206437113864818,0.7184167950522768,0.8007911219973093
ct_w4_i4,4,evaluation,width3,19,16,10,465,0.7609913310493441,0.7545140717592218,0.7916960778100093
ct_w4_i4,4,evaluation,width3,42,16,10,465,0.6819853948104954,0.6768294432978635,0.8091442598725335
ct_w4_i4,4,evaluation,width3,50,16,10,465,0.6711065152194333,0.6581431898468134,0.8137338680779402
ct_w4_i4,4,evaluation,width3,101,16,10,465,0.6463167750528215,0.6333461142387191,0.8254807203035005
ct_w4_i5,4,evaluation,chain,0,16,3,91,0.9726090844478611,-0.9048741077559218,0.3120874305664557
ct_w4_i5,4,evaluation,chain,19,16,3,91,0.9704573759329878,-0.9128918956954973,0.28873366488969426
ct_w4_i5,4,evaluation,chain,42,16,3,91,0.9709392183394663,-0.9073863665030673,0.29446763301463813
ct_w4_i5,4,evaluation,chain,50,16,3,91,0.9547223210492831,-0.9048656120382267,0.3214601040210494
ct_w4_i5,4,evaluation,chain,101,16,3,91,0.9648372392232833,-0.9318065509544431,0.3599854969477992
ct_w4_i5,4,evaluation,problem_tree,0,16,3,91,0.5394697227702423,0.2574477051938125,0.8769960816251303
ct_w4_i5,4,evaluation,problem_tree,19,16,3,91,0.5805792286712687,0.27447906421670787,0.8163135543453778
ct_w4_i5,4,evaluation,problem_tree,42,16,3,91,0.5628907428692597,0.2972701224857753,0.8446428538363988
ct_w4_i5,4,evaluation,problem_tree,50,16,3,91,0.5481516677287659,0.3657800018471618,0.8613196363694664
ct_w4_i5,4,evaluation,problem_tree,101,16,3,91,0.6865346517014224,0.43631791711731177,0.7280037320332168
ct_w4_i5,4,evaluation,width2,0,16,6,286,0.7076436863521804,0.671772185247604,0.7469359339365161
ct_w4_i5,4,evaluation,width2,19,16,6,286,0.7599471958313244,0.7219948781691111,0.738545285375726
ct_w4_i5,4,evaluation,width2,42,16,6,286,0.7864522888666746,0.7340212593497328,0.7431881667839499
ct_w4_i5,4,evaluation,width2,50,16,6,286,0.6902900878218088,0.6462186951220579,0.780948429328746
ct_w4_i5,4,evaluation,width2,101,16,6,286,0.6864022012949328,0.644957613543876,0.7765037002089995
ct_w4_i5,4,evaluation,width3,0,16,10,427,0.7837612193436143,0.769991839018016,0.7530160717831554
ct_w4_i5,4,evaluation,width3,19,16,10,427,0.7505866631870508,0.7396735033242635,0.7682488397781171
