instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,stored_metric_entries,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,first_sample_alignment_residual,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_fisher_min_kept,final_fisher_max,final_trap_candidate
ct_w3_i5,3,evaluation,width2,256,0,sampled_full_fisher,41,1,7.0,0.0735617515507911,0.3209268415495603,7,1792,861,,0.7482643847527755,40,0.38967990958282,0.0735617515507911,0.937092324987304,0.937092324987304,0.0,0,1,0.0409508134836847,0.1276017091183716,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,0,protected_ray_star,41,0,,1.000208346908238,0.3209268415495603,199,50944,197,,0.9783669126591048,40,0.38967990958282,1.000309551632384,2.9484467251453997e-05,0.499728157302977,1.0,5,1,9.955321173680424e-05,0.0003102053142582,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,19,sampled_adam,41,0,,1.0118961173700622,0.2747188268333042,199,50944,82,,0.3738009000915723,39,0.8256885815276921,1.0118961173700622,9.754746154490482e-13,0.988725783408394,1.0,8,1,0.0023272264114804,0.0084713029620376,436436833.3820502,41,5.848748669960349e-11,0.0255260934876497,1
ct_w3_i5,3,evaluation,width2,256,19,sampled_diagonal_fisher,41,0,,1.000033861681734,0.2747188268333042,199,50944,41,,0.3351383167040205,39,0.8256885815276921,1.000033861681734,1.920465046486344e-25,0.990392265181443,1.0,8,1,8.948298257733357e-06,3.25725701470146e-05,304849537244.5236,31,4.57308828104879e-13,0.1394103846256077,1
ct_w3_i5,3,evaluation,width2,256,19,sampled_two_block_fisher,41,0,,1.0001614803704817,0.2747188268333042,199,50944,461,,0.1968376554889931,39,0.8256885815276921,1.0001614803704817,2.9656421230459634e-20,0.6117886967076948,1.0,8,1,3.353069067011067e-05,0.0001220545787,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,19,sampled_star_fisher,41,0,,1.0001245011635105,0.2747188268333042,199,50944,197,,0.6738146378020631,39,0.8256885815276921,1.0001245011635105,4.0670951021096516e-21,0.6593048264163099,1.0,8,1,2.91965657159707e-05,0.0001062779935853,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,19,sampled_full_fisher,41,0,,1.0005915830368846,0.2747188268333042,199,50944,861,,0.6743764292641323,39,0.8256885815276921,1.0005915830368846,3.543210138789004e-07,0.4268268337135482,1.0,8,1,0.0001489440455179,0.0005421690505702,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,19,protected_ray_star,41,0,,1.0000701461645196,0.2747188268333042,199,50944,197,,0.9803509672077512,39,0.8256885815276921,1.0000701461645196,6.287617223452015e-06,0.4999401757439364,1.0,5,1,2.232007464642275e-05,8.1246978606116e-05,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,42,sampled_adam,41,1,67.0,0.0956643387001321,0.1898498021627784,67,17152,82,,0.3162933793458976,41,0.6981342461584614,0.0956643387001321,0.916980859597667,0.916980859597667,0.0,0,1,0.0209177361993198,0.1101804477066818,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,42,sampled_diagonal_fisher,41,0,,1.000031262794213,0.1898498021627784,199,50944,41,,0.3973697058458084,41,0.6981342461584614,1.000031262794213,2.8989171691667088e-15,0.6664572151349258,1.0,5,1,6.555623072199362e-06,3.4530576263537685e-05,,-1,,,0
