instance_id,instance_width,graph,compiled_graph_width,edge_count,target_edge_count,pair_weight_fraction,target_norm_fraction,elimination_order,elimination_degrees,edges,energy_at_projected_target,cost_variance,explained_variance_fraction,projected_identity_relative_residual,exact_ng_projected_target_cosine,parameter_dimension
ct_w3_i3,3,full,3,31,31,1.0,1.0,0 3 6 11 13 1 2 10 14 5 9 12 4 7 8 15,2 3 3 3 2 2 2 3 2 3 2 1 3 2 1 0,0-6;0-11;1-7;1-11;1-13;1-15;2-8;2-15;3-6;3-7;3-13;4-7;4-8;4-9;4-10;4-12;4-14;4-15;5-7;5-10;5-14;5-15;6-7;6-11;7-8;7-13;7-15;8-15;9-12;10-14;11-13,-8.458459130786586,2.6007190551296357,0.9999999999993291,3.4893050291225317e-13,1.0,47
ct_w3_i4,3,chain,1,15,2,0.05128205128205128,0.7196969696969697,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.2913747882333655,3.0127786339207105,0.6691854498658011,2.2655326185332973,-0.8170650479247221,31
ct_w3_i4,3,problem_tree,1,15,15,0.6153846153846154,0.8863636363636364,4 5 6 7 8 10 11 1 9 13 3 14 0 12 2 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-12;0-14;1-8;1-9;1-11;2-6;2-7;2-10;2-12;2-15;3-13;3-14;4-9;5-9;9-14,-6.621623689515346,3.539878381822996,0.5623008212393693,0.7079731997056513,0.9337029775145723,31
ct_w3_i4,3,width2,2,27,27,0.9230769230769231,0.9772727272727273,0 3 4 5 6 7 10 11 1 8 13 15 2 9 12 14,2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 0,0-12;0-14;1-8;1-9;1-11;2-6;2-7;2-8;2-9;2-10;2-12;2-15;3-13;3-14;4-9;4-11;5-9;5-14;6-12;7-10;8-9;9-11;9-13;9-14;12-14;12-15;13-14,-7.437503897481632,2.4762364795209466,0.8521030531987909,0.633781468957349,0.9830291816077933,43
ct_w3_i4,3,width3,3,30,30,1.0,1.0,0 3 4 6 7 10 15 5 13 11 12 1 2 8 9 14,2 2 2 2 2 1 2 3 2 3 2 3 3 2 1 0,0-12;0-14;1-8;1-9;1-11;1-14;2-6;2-7;2-8;2-9;2-10;2-12;2-15;3-13;3-14;4-9;4-11;5-9;5-13;5-14;6-12;7-10;8-9;8-11;9-11;9-13;9-14;12-14;12-15;13-14,-7.526816118574151,2.3004297282824906,0.9999999999989404,4.216945663064952e-13,1.0000000000000002,46
ct_w3_i4,3,full,3,30,30,1.0,1.0,0 4 11 1 3 5 6 7 8 13 9 10 14 2 12 15,2 2 3 3 2 3 2 2 3 2 2 1 2 2 1 0,0-12;0-14;1-8;1-9;1-11;1-14;2-6;2-7;2-8;2-9;2-10;2-12;2-15;3-13;3-14;4-9;4-11;5-9;5-13;5-14;6-12;7-10;8-9;8-11;9-11;9-13;9-14;12-14;12-15;13-14,-7.526816118574151,2.3004297282824906,0.9999999999989404,4.216945663064952e-13,1.0000000000000002,46
ct_w3_i5,3,chain,1,15,3,0.08108108108108109,0.7258064516129032,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.3220669789638344,3.2520137057145817,0.6360608289553934,2.1660489805220284,-0.7566132619120618,31
ct_w3_i5,3,problem_tree,1,15,15,0.5675675675675675,0.8709677419354839,3 4 6 10 5 7 2 8 11 12 13 14 1 9 0 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-8;0-9;0-11;0-12;0-15;1-9;1-13;1-14;2-7;2-8;3-7;4-9;5-6;5-7;5-10,-7.186583651856441,3.23916085912181,0.8298253453936351,0.8700714781876959,0.8079859686024045,31
ct_w3_i5,3,width2,2,25,25,0.8378378378378378,0.9516129032258065,3 4 6 10 5 11 15 12 0 13 1 14 2 7 8 9,1 2 2 1 2 2 1 2 2 2 2 2 2 2 1 0,0-8;0-9;0-11;0-12;0-15;1-9;1-13;1-14;2-7;2-8;3-7;4-9;4-13;5-6;5-7;5-9;5-10;6-10;7-9;7-14;8-9;9-12;9-13;9-14;11-15,-7.2994045455192405,2.5833376291892476,0.8464734237046221,0.6382017443137482,0.9706983146879826,41
ct_w3_i5,3,width3,3,31,31,1.0,1.0,3 4 6 10 5 11 15 0 1 13 8 12 2 7 9 14,2 2 2 1 2 2 1 3 3 2 3 3 3 2 1 0,0-8;0-9;0-11;0-12;0-15;1-9;1-13;1-14;2-7;2-8;2-12;2-14;3-7;3-12;4-9;4-13;5-6;5-7;5-9;5-10;6-10;7-9;7-12;7-14;8-9;8-12;9-12;9-13;9-14;11-15;13-14,-7.461825662579782,2.392764313425502,0.9999999999979521,7.387156174687774e-13,0.9999999999999999,47
ct_w3_i5,3,full,3,31,31,1.0,1.0,1 3 4 6 10 5 13 14 7 2 8 9 12 0 11 15,3 2 2 2 1 2 2 3 3 3 3 2 1 2 1 0,0-8;0-9;0-11;0-12;0-15;1-9;1-13;1-14;2-7;2-8;2-12;2-14;3-7;3-12;4-9;4-13;5-6;5-7;5-9;5-10;6-10;7-9;7-12;7-14;8-9;8-12;9-12;9-13;9-14;11-15;13-14,-7.461825662579782,2.392764313425502,0.9999999999979521,7.387156174687774e-13,0.9999999999999999,47
ct_w4_i1,4,chain,1,15,1,0.023809523809523808,0.7071428571428572,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.043177507348473,3.4630141150827,0.7007285564036715,2.3612029669145866,-0.930316735584604,31
