instance_id,instance_width,split,graph,seed,budget,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_fisher_condition,final_fisher_rank,gradient_evaluations,iterations,mean_accepted_alpha,minimum_accepted_alpha,first_direction_cosine_exact_natural,first_direction_cosine_projected_target,final_target_beta,final_transverse_norm,initial_target_beta
ct_w3_i3,3,evaluation,width2,101,200,1,16.0,0.09971874556672589,0.09971874556672589,0.9018503582509383,0.9018503582509383,0.0,0,1,0.08320311027025164,37939987400.64057,42,34,17,1.0,1.0,1.0,0.9916083932917715,8.462020490109563,11.100755325959087,0.9847574970004823
ct_w3_i3,3,evaluation,width3,0,200,1,12.0,0.08356372695368819,0.08356372695368819,0.9166558526945581,0.9166558526945581,0.0,0,1,0.06574254966362071,2383352790.473426,47,26,13,1.0,1.0,1.0,1.0000000000000002,7.065796318058652,1.983400218063549,1.0657963180586585
ct_w3_i3,3,evaluation,width3,19,200,1,12.0,0.07859837788331525,0.07859837788331525,0.9219496177524437,0.9219496177524437,0.0,0,1,0.0667001867892626,4195861711.969738,47,26,13,1.0,1.0,1.0,1.0000000000000002,7.039919469077233,2.1097923782171817,1.0399194690772373
ct_w3_i3,3,evaluation,width3,42,200,1,11.0,0.0925733204056769,0.0925733204056769,0.9084922912244503,0.9084922912244503,0.0,0,1,0.09056862248722362,29596224.50196868,47,24,12,1.0,1.0,1.0,1.0000000000000002,6.531780660472903,1.5547875376785838,1.0317806604729036
ct_w3_i3,3,evaluation,width3,50,200,1,13.0,0.09763678374985041,0.09763678374985041,0.9027825725711894,0.9027825725711894,0.0,0,1,0.10624810900846401,7078366923.419717,47,28,14,1.0,1.0,1.0,0.9999999999999997,7.510368777688054,1.8557314701308407,1.0103687776880554
ct_w3_i3,3,evaluation,width3,101,200,1,11.0,0.0951349607464067,0.0951349607464067,0.9066181033070116,0.9066181033070116,0.0,0,1,0.0849375154687871,213918742.3616755,47,24,12,1.0,1.0,1.0,0.9999999999999994,6.469244688407397,2.340523939619124,0.9692446884073967
ct_w3_i4,3,evaluation,chain,0,200,0,,2.000000000044807,2.000000000042977,7.3994851981897e-63,0.8544360453523141,2.0,7,1,1.1814906055902972e-11,456404113441.8011,13,297,148,1.0,1.0,1.0,-0.8241815741467231,3.4365482605336255,32.47062870711253,1.0979540450359313
ct_w3_i4,3,evaluation,chain,19,200,0,,1.0000000001276366,1.0000000001276366,4.189780430002881e-73,0.6901646423736322,1.0,10,1,2.9189024737692295e-11,343595147028.3101,11,64,32,1.0,1.0,1.0,-0.8446551562423592,1.9655367915617938,31.109634569278843,0.9065539789624856
ct_w3_i4,3,evaluation,chain,42,200,0,,2.000000000112582,2.000000000112582,2.5303411554117207e-77,0.6374177759866996,2.0,11,1,2.5351704365253606e-11,496493856745.7735,13,68,34,1.0,1.0,1.0,-0.8250110514222244,3.1725725368630533,29.98369405951192,1.0100754789016886
ct_w3_i4,3,evaluation,chain,50,200,0,,2.000000000106569,2.000000000106569,5.33216969260765e-65,0.6751111081764575,2.0,8,1,2.356084286451639e-11,843521584050.9829,15,106,53,1.0,1.0,1.0,-0.7462626289623928,2.7333484207233627,31.177222296451866,1.0618316817798412
ct_w3_i4,3,evaluation,chain,101,200,0,,1.0000000001088143,1.0000000001088143,2.838201921103025e-68,0.6018344608467311,1.0,9,1,2.368621628249283e-11,896151173176.634,12,60,30,1.0,1.0,1.0,-0.8316752765841057,2.126469124584496,30.03400851071277,1.014772660399433
ct_w3_i4,3,evaluation,problem_tree,0,200,1,5.0,0.09854949932989143,0.09854949932989143,0.9139002727535083,0.9139002727535083,0.0,0,1,0.05660723797419956,80096713981.18404,31,12,6,1.0,1.0,1.0,0.8997129969209652,2.993191278736071,8.54485397786259,1.1021155749740223
ct_w3_i4,3,evaluation,problem_tree,19,200,1,7.0,0.06102337988025219,0.06102337988025219,0.9443175026646985,0.9443175026646985,0.0,0,1,0.026740856565425068,588010162071.7579,31,16,8,1.0,1.0,1.0,0.91553064581399,3.6088346250419385,9.262338316912631,0.9036002437752143
ct_w3_i4,3,evaluation,problem_tree,42,200,1,7.0,0.06681020171656726,0.06681020171656726,0.9380997834571297,0.9380997834571297,0.0,0,1,0.027506426147352374,79503173563.97803,31,16,8,1.0,1.0,1.0,0.9037967009375774,3.7083437175771365,10.480704773769546,0.9916065249173845
