instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w5_i3,5,evaluation,problem_tree,256,101,independent_full_fisher,31,1,13.0,0.08975671663271001,0.4127473088254257,13,3328,0.32938100707189466,0.12908812208739565,28,0.08975671663271001,0.9274490585823195,0.9274490585823195,0.0,0,1,0.03932298586286157,0.09527133193130884,,-1,0
ct_w5_i3,5,evaluation,width3,64,0,independent_full_fisher,47,1,11.0,0.0642170009927785,0.21042677681719024,11,704,0.21553989307541105,0.174422228783858,27,0.0642170009927785,0.9399976557895995,0.9399976557895995,0.0,0,1,0.028764675791070317,0.13669684165746565,,-1,0
ct_w5_i3,5,evaluation,width3,64,19,independent_full_fisher,47,0,,1.000027959253723,0.20945778036999646,199,12736,0.19632140646075785,0.1913702545296965,25,1.000027959253723,2.5502558715445766e-34,0.519552035793005,1.0,8,1,8.952213308146992e-06,4.2739941635652615e-05,,-1,0
ct_w5_i3,5,evaluation,width3,64,42,independent_full_fisher,47,1,98.0,0.026545538226205423,0.2591204139190271,98,6272,0.3138500256777019,0.28857899570260404,27,0.026545538226205423,0.9736897645739764,0.9736897645739764,0.0,0,1,0.012871556999397913,0.04967403688780832,,-1,0
ct_w5_i3,5,evaluation,width3,64,50,independent_full_fisher,47,0,,1.0002559764632348,0.3382847713984073,199,12736,0.2778980872187843,0.3004879948726897,30,1.0002559764632348,4.254494838257982e-25,0.9998055274402186,1.0,5,1,7.710948381912887e-05,0.0002279425216227511,722913803619.8252,42,1
ct_w5_i3,5,evaluation,width3,64,101,independent_full_fisher,47,0,,1.000005873662749,0.3349267904823439,199,12736,0.260274371003272,0.2481001091935327,27,1.000005873662749,4.2884963150708754e-35,0.7204373438403693,1.0,11,1,3.5888636713886544e-06,1.071536757695663e-05,,-1,0
ct_w5_i3,5,evaluation,width3,256,0,independent_full_fisher,47,1,22.0,0.03827120747328827,0.21042677681719024,22,5632,0.7642754158977728,0.7704207386710945,46,0.03827120747328827,0.9627712765329345,0.9627712765329345,0.0,0,1,0.024144889368920924,0.11474247590598685,,-1,0
ct_w5_i3,5,evaluation,width3,256,19,independent_full_fisher,47,0,,1.0000376279357148,0.20945778036999646,199,50944,0.5809628992366178,0.5657449105623437,46,1.0000376279357148,1.752827062243939e-32,0.6889020029436858,1.0,11,1,1.545477218245896e-05,7.378466512515742e-05,,-1,0
ct_w5_i3,5,evaluation,width3,256,42,independent_full_fisher,47,1,17.0,0.036513567669317126,0.2591204139190271,17,4352,0.4792764969090828,0.45989459836445495,44,0.036513567669317126,0.964698777211695,0.964698777211695,0.0,0,1,0.030008460272815958,0.11580893924549433,,-1,0
ct_w5_i3,5,evaluation,width3,256,50,independent_full_fisher,47,1,22.0,0.06834097085287993,0.3382847713984073,22,5632,0.6698406523855694,0.6240798117806264,44,0.06834097085287993,0.9344394099829265,0.9344394099829265,0.0,0,1,0.05237733357899563,0.1548320764262527,,-1,0
ct_w5_i3,5,evaluation,width3,256,101,independent_full_fisher,47,1,18.0,0.014018280896083368,0.3349267904823439,18,4608,0.49030770321180484,0.4487357832414074,45,0.014018280896083368,0.9940822142807617,0.9940822142807617,0.0,0,1,0.019997000841124987,0.05970558763700676,,-1,0
ct_w5_i3,5,evaluation,width3,1024,0,independent_full_fisher,47,1,11.0,0.09919861834034371,0.21042677681719024,11,11264,0.8429737560748389,0.8141602330952727,47,0.09919861834034371,0.9296153067368281,0.9296153067368281,0.0,0,1,0.06309932224746324,0.29986355920036367,,-1,0
ct_w5_i3,5,evaluation,width3,1024,19,independent_full_fisher,47,0,,1.0002055122781321,0.20945778036999646,199,203776,0.8457738602099918,0.8351362731727313,47,1.0002055122781321,1.3816040373453236e-17,0.3398745135375331,1.0,8,1,9.593298957271509e-05,0.00045800633141081877,,-1,0
ct_w5_i3,5,evaluation,width3,1024,42,independent_full_fisher,47,1,7.0,0.0629006952735498,0.2591204139190271,7,7168,0.8319955849701608,0.8014784984790173,47,0.0629006952735498,0.9541252210976525,0.9541252210976525,0.0,0,1,0.03670524526979108,0.1416532364804772,,-1,0
ct_w5_i3,5,evaluation,width3,1024,50,independent_full_fisher,47,1,12.0,0.05902049043275781,0.3382847713984073,12,12288,0.8089776254491224,0.7762418397396642,47,0.05902049043275781,0.952970546497569,0.952970546497569,0.0,0,1,0.045330570286390814,0.13400121471328,,-1,0
ct_w5_i3,5,evaluation,width3,1024,101,independent_full_fisher,47,1,12.0,0.07571255772032437,0.3349267904823439,12,12288,0.8335791114197162,0.7889923436595843,47,0.07571255772032437,0.9281520017810995,0.9281520017810995,0.0,0,1,0.08337887162994452,0.24894655787274186,,-1,0
ct_w5_i4,5,evaluation,problem_tree,256,0,independent_full_fisher,31,1,11.0,0.07400628276714194,0.30378857541892057,11,2816,0.45298917334184596,0.11710784001044017,23,0.07400628276714194,0.9296103727375487,0.9296103727375487,0.0,0,1,0.027414735053240987,0.0902428111901062,,-1,0
ct_w5_i4,5,evaluation,problem_tree,256,19,independent_full_fisher,31,1,15.0,0.09294546457503472,0.29611920570790096,15,3840,0.6319653524454947,0.5102119023278203,26,0.09294546457503472,0.9209710899337531,0.9209710899337531,0.0,0,1,0.05027039480410422,0.1697640471644792,,-1,0
ct_w5_i4,5,evaluation,problem_tree,256,42,independent_full_fisher,31,1,13.0,0.06803141431302784,0.4436822744188027,13,3328,0.48707113726141216,0.14093522163366515,27,0.06803141431302784,0.9355869791931024,0.9355869791931024,0.0,0,1,0.04001470480332256,0.0901877472020703,,-1,0
ct_w5_i4,5,evaluation,problem_tree,256,50,independent_full_fisher,31,1,18.0,0.08667828287137525,0.37222666806876353,18,4608,0.0010423536978289541,-0.279845881910434,23,0.08667828287137525,0.9187821127644308,0.9187821127644308,0.0,0,1,0.03811864935312756,0.10240708853801331,,-1,0
ct_w5_i4,5,evaluation,problem_tree,256,101,independent_full_fisher,31,1,15.0,0.016811781666319803,0.4215252868979511,15,3840,0.3702161400127281,-0.13235139271142563,27,0.016811781666319803,0.9926477868399832,0.9926477868399832,0.0,0,1,0.012896695622028933,0.030595307145004448,,-1,0
ct_w5_i4,5,evaluation,width3,64,0,independent_full_fisher,48,1,19.0,0.09999509286508079,0.2612066076802507,19,1216,0.26280288109592154,0.28626756447084417,29,0.09999509286508079,0.9014732573602178,0.9014732573602178,0.0,0,1,0.04537871600957177,0.1737272897212499,,-1,0
ct_w5_i4,5,evaluation,width3,64,19,independent_full_fisher,48,0,,1.0000073539373506,0.23175850541696338,199,12736,0.3970212704619946,0.3811708438893782,28,1.0000073539373506,1.8290141839591477e-42,0.9999942246151052,1.0,8,1,1.945204390430936e-06,8.393238413974336e-06,570544028428.972,39,1
ct_w5_i4,5,evaluation,width3,64,42,independent_full_fisher,48,0,,2.000168995167339,0.17997390068888205,199,12736,0.1838340221842197,0.18868983664802144,31,2.000168995167339,1.6347733126108555e-12,0.9997249368999276,2.0,3,1,6.102820163294057e-05,0.00033909473206584004,130597691157.22974,48,1
ct_w5_i4,5,evaluation,width3,64,50,independent_full_fisher,48,0,,1.0000378246281016,0.21182371661140223,199,12736,0.26077519959997153,0.28406169724494995,22,1.0000378246281016,2.0052749713944914e-18,0.9467764085263333,1.0,4,1,1.6150319446006956e-05,7.624415105337454e-05,592709731879.574,35,1
ct_w5_i4,5,evaluation,width3,64,101,independent_full_fisher,48,0,,1.000054530146631,0.30413134576060497,199,12736,0.10741912517816388,0.09462807154239847,20,1.000054530146631,5.020295668701262e-15,0.9999661012227914,1.0,4,1,2.9011066168323852e-05,9.53899246911554e-05,6266725945.515645,37,1
ct_w5_i4,5,evaluation,width3,256,0,independent_full_fisher,48,1,13.0,0.09809736294682558,0.2612066076802507,13,3328,0.3235345466076675,0.32481527840970054,37,0.09809736294682558,0.9050561863410552,0.9050561863410552,0.0,0,1,0.07205632548070857,0.27585950493608663,,-1,0
ct_w5_i4,5,evaluation,width3,256,19,independent_full_fisher,48,0,,1.0001355383724242,0.23175850541696338,199,50944,0.45873559824481513,0.4423501790170009,45,1.0001355383724242,1.4001876034563379e-45,0.9999321088871966,1.0,8,1,8.723222700065346e-05,0.0003763927750729642,497923480547.3394,39,1
ct_w5_i4,5,evaluation,width3,256,42,independent_full_fisher,48,1,15.0,0.08796066084904197,0.17997390068888205,15,3840,0.5995991467104662,0.5943904767125974,48,0.08796066084904197,0.919882943198284,0.919882943198284,0.0,0,1,0.0505466613926424,0.2808555084885424,,-1,0
ct_w5_i4,5,evaluation,width3,256,50,independent_full_fisher,48,1,19.0,0.03859249126282194,0.21182371661140223,19,4864,0.5978266990121587,0.6220394377610283,47,0.03859249126282194,0.9622312469923072,0.9622312469923072,0.0,0,1,0.01613142898647618,0.07615497095667448,,-1,0
ct_w5_i4,5,evaluation,width3,256,101,independent_full_fisher,48,0,,1.000001749206172,0.30413134576060497,199,50944,0.45466076641139724,0.45830489256157586,41,1.000001749206172,1.5995230758758537e-34,0.9999990434976832,1.0,10,1,1.0198195359367164e-06,3.353220738843081e-06,516572624483.8631,36,1
