instance_id,instance_width,split,graph,samples_per_batch,total_samples_per_update,seed,method,success,first_success_step,minimum_gap,sample_batches,total_samples,first_direction_cosine_exact_ng,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_gradient_ratio,final_trap_candidate
ct_w4_i2,4,evaluation,problem_tree,256,512,101,independent_equal_full_fisher,1,19.0,0.09539283546575028,19,9728,0.13831755688853475,29,0.09539283546575028,0.9047339818011019,0.9047339818011019,0.12433946761643848,0
ct_w4_i2,4,evaluation,width3,64,128,0,independent_equal_full_fisher,0,,1.000043570285575,199,25472,0.5137315169438519,46,1.000043570285575,4.823604392893268e-18,0.8669669933110984,7.075262868969189e-05,0
ct_w4_i2,4,evaluation,width3,64,128,19,independent_equal_full_fisher,0,,1.0003012044304551,199,25472,0.308939014555253,40,1.0003012044304551,4.3104613707619505e-39,0.6904925805154624,0.0009773724247826607,0
ct_w4_i2,4,evaluation,width3,64,128,42,independent_equal_full_fisher,1,14.0,0.09517805621484321,14,1792,0.49434891706152656,39,0.09517805621484321,0.913885726144074,0.913885726144074,0.3034713613422827,0
ct_w4_i2,4,evaluation,width3,64,128,50,independent_equal_full_fisher,0,,1.0000358178281221,199,25472,0.23562344051028558,38,1.0000358178281221,2.5424356503818374e-10,0.9999781358698011,6.306676993415545e-05,1
ct_w4_i2,4,evaluation,width3,64,128,101,independent_equal_full_fisher,0,,1.0000118219149936,199,25472,0.20194434428694505,37,1.0000118219149936,4.6856115293224816e-29,0.9950040148049273,1.3278024260406767e-05,1
ct_w4_i2,4,evaluation,width3,256,512,0,independent_equal_full_fisher,1,12.0,0.0439167651753678,12,6144,0.676093611043626,47,0.0439167651753678,0.9573444540249785,0.9573444540249785,0.053251895643430656,0
ct_w4_i2,4,evaluation,width3,256,512,19,independent_equal_full_fisher,0,,1.000115584304254,199,101888,0.606137289493245,47,1.000115584304254,1.4115210132909866e-08,0.4935530944939221,0.00029101202196969033,0
ct_w4_i2,4,evaluation,width3,256,512,42,independent_equal_full_fisher,1,16.0,0.06174375608749649,16,8192,0.6876852374608823,48,0.06174375608749649,0.9452002161255184,0.9452002161255184,0.0834181356312948,0
ct_w4_i2,4,evaluation,width3,256,512,50,independent_equal_full_fisher,0,,1.0000114476844306,199,101888,0.6896679644816798,47,1.0000114476844306,1.6143733872800822e-34,0.7668627163455068,2.00668386169805e-05,0
ct_w4_i2,4,evaluation,width3,256,512,101,independent_equal_full_fisher,1,17.0,0.07286978119743992,17,8704,0.591705192141769,47,0.07286978119743992,0.9304242140915147,0.9304242140915147,0.124435377678117,0
ct_w4_i3,4,evaluation,problem_tree,256,512,0,independent_equal_full_fisher,1,12.0,0.043019092012341886,12,6144,0.45485068818394087,28,0.043019092012341886,0.9584629190332287,0.9584629190332287,0.03503052985438355,0
ct_w4_i3,4,evaluation,problem_tree,256,512,19,independent_equal_full_fisher,1,12.0,0.07849531502660412,12,6144,0.7225256430485522,28,0.07849531502660412,0.9263158166872066,0.9263158166872066,0.0711434822447317,0
