instance_id,instance_width,split,graph,seed,method,parameter_dimension,gap,direction_cosine_exact_natural,direction_cosine_projected_target,direction_relative_error_exact_natural,direction_norm,exact_natural_norm,fisher_rank,fisher_condition
ct_w5_i3,5,evaluation,width2,0,exact_two_block,43,3.7871869414983017,0.23589439573471271,0.12666471224654421,0.9890138797777406,2.1820929849092607,5.198832199409635,43,346.5760421091463
ct_w5_i3,5,evaluation,width2,0,exact_star,43,3.7871869414983017,0.7584088506529904,0.6954064756563872,0.6970640715955986,2.657957576740468,5.198832199409635,43,346.5760421091463
ct_w5_i3,5,evaluation,width2,0,projected_target,43,3.7871869414983017,0.979758188283442,1.0000000000000002,0.2900306606251254,6.18465843842649,5.198832199409635,43,346.5760421091463
ct_w5_i3,5,evaluation,width2,19,exact_natural,43,3.537713078418598,1.0,0.9875051082282562,0.0,5.763851382346069,5.763851382346069,43,235.2454474123522
ct_w5_i3,5,evaluation,width2,19,exact_regularized_full,43,3.537713078418598,0.9551071384320633,0.9248319791297607,0.5261917680349291,2.998599333629132,5.763851382346069,43,235.2454474123522
ct_w5_i3,5,evaluation,width2,19,exact_diagonal,43,3.537713078418598,0.3394116437280718,0.3296484353121538,0.9571084064207562,2.975343161580492,5.763851382346069,43,235.2454474123522
ct_w5_i3,5,evaluation,width2,19,exact_two_block,43,3.537713078418598,0.5450717075971122,0.5127409283142358,0.8689505358028148,1.825101794359128,5.763851382346069,43,235.2454474123522
ct_w5_i3,5,evaluation,width2,19,exact_star,43,3.537713078418598,0.6486224498322744,0.6484774165468419,0.8089203479133538,2.1594026381529106,5.763851382346069,43,235.2454474123522
ct_w5_i3,5,evaluation,width2,19,projected_target,43,3.537713078418598,0.9875051082282562,1.0000000000000002,0.17928859312101028,6.18465843842649,5.763851382346069,43,235.2454474123522
ct_w5_i3,5,evaluation,width2,42,exact_natural,43,4.166132912424132,1.0000000000000002,0.9743950775050434,0.0,5.361472045612245,5.361472045612245,43,839.2347482601425
ct_w5_i3,5,evaluation,width2,42,exact_regularized_full,43,4.166132912424132,0.8986185066638326,0.8414621358548993,0.5881828020698733,2.717519131329089,5.361472045612245,43,839.2347482601425
ct_w5_i3,5,evaluation,width2,42,exact_diagonal,43,4.166132912424132,0.3560895462750607,0.3055713684320596,0.9398527079928402,2.448595321730095,5.361472045612245,43,839.2347482601425
ct_w5_i3,5,evaluation,width2,42,exact_two_block,43,4.166132912424132,0.43845093214867936,0.3132241332433603,0.9032594050821814,1.8677105973140693,5.361472045612245,43,839.2347482601425
ct_w5_i3,5,evaluation,width2,42,exact_star,43,4.166132912424132,0.6864298775250874,0.6617961917093347,0.7701282046751715,2.320917495191786,5.361472045612245,43,839.2347482601425
ct_w5_i3,5,evaluation,width2,42,projected_target,43,4.166132912424132,0.9743950775050434,1.0000000000000002,0.287482519375494,6.18465843842649,5.361472045612245,43,839.2347482601425
ct_w5_i3,5,evaluation,width2,50,exact_natural,43,4.397434010078026,1.0,0.9766683140107094,0.0,5.293829184583093,5.293829184583093,43,384.5711023455918
ct_w5_i3,5,evaluation,width2,50,exact_regularized_full,43,4.397434010078026,0.8882776359489747,0.816731780978468,0.5980696223892449,2.6746086413038914,5.293829184583093,43,384.5711023455918
ct_w5_i3,5,evaluation,width2,50,exact_diagonal,43,4.397434010078026,0.29883749654893993,0.23946401309304133,0.9869067837568819,2.9137778332652946,5.293829184583093,43,384.5711023455918
