instance_id,width,split,parameter_seed,sample_budget,method,stream_seed,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,maximum_sample_identity_residual,parameter_dimension,stored_metric_entries
ct_w3_i4,3,evaluation,19,256,sampled_full_fisher,12556481055851994542,1,8.0,0.05362042243907261,0.05362042243907261,0.9492976000224654,0.9492976000224654,,0.20373772615196742,0,8,2048,0.7884906340899325,0.6503989020748231,41,0.0,46,1081
ct_w3_i4,3,evaluation,19,256,ray_plus_residual,12556481055851994542,1,9.0,0.029456679260706053,0.029456679260706053,0.971139595819195,0.971139595819195,,0.09335019389363712,0,9,2304,0.9802193716425162,0.2019079470598683,41,0.0,46,601
ct_w3_i4,3,evaluation,42,256,sampled_adam,4213725664898043900,0,,1.0135468794768503,1.0135468794768503,4.832107331189763e-11,0.9832396767260987,270100994.91229725,0.01231491080994219,1,199,50944,0.1283317562363385,0.9950422560821325,46,0.0,46,92
ct_w3_i4,3,evaluation,42,256,sampled_diagonal_fisher,4213725664898043900,0,,1.0001091082214923,1.0001091082214923,2.965229059526047e-18,0.9989212658491693,496594880624.8985,0.00014608124509729443,1,199,50944,0.2794379426221859,1.064300698664769,46,0.0,46,46
ct_w3_i4,3,evaluation,42,256,sampled_two_block_fisher,4213725664898043900,0,,1.0001007762983622,1.0001007762983622,9.266127889454901e-15,0.7726697220848587,,0.00013111705614065526,0,199,50944,0.402935614816513,0.9357137211384796,46,0.0,46,601
ct_w3_i4,3,evaluation,42,256,sampled_full_fisher,4213725664898043900,1,10.0,0.06475764153861618,0.06475764153861618,0.9438106904409042,0.9438106904409042,,0.19607747474092596,0,10,2560,1.0000000000000002,2.8707126972014246e-09,46,0.0,46,1081
ct_w3_i4,3,evaluation,42,256,ray_plus_residual,4213725664898043900,1,8.0,0.07766200827203029,0.07766200827203029,0.9247653776072519,0.9247653776072519,,0.25626311835030047,0,8,2048,0.9787562492099904,0.2094774124976044,46,0.0,46,601
ct_w3_i4,3,evaluation,50,256,sampled_adam,15105338583762147397,1,48.0,0.0986061162937748,0.0986061162937748,0.912703279890671,0.912703279890671,,0.0938000756418121,0,48,12288,0.30799618779332727,0.9864782800809571,45,0.0,46,92
ct_w3_i4,3,evaluation,50,256,sampled_diagonal_fisher,15105338583762147397,1,3.0,0.02201326061012665,0.02201326061012665,0.9783443887205744,0.9783443887205744,,0.03083563156333226,0,3,768,0.28346489633824945,1.033694042799751,45,0.0,46,46
ct_w3_i4,3,evaluation,50,256,sampled_two_block_fisher,15105338583762147397,1,3.0,0.06284522611627708,0.06284522611627708,0.9417343729330242,0.9417343729330242,,0.0795286777154188,0,3,768,0.5560810933382617,0.8318754676592185,45,0.0,46,601
